Clients,Branch,Arrival,Start,Waitint Time,Operation,Quantity,Step,Balance,Risk
Client 10,Bank Branch A,0,0,0,Invest,4831,1,349,100
Client 9,Bank Branch C,0,0,0,Loan,4762,1,8524,20.6
Client 10,Bank Branch A,0,0,0,Loan,865,1,1214,83.65
Client 4,Bank Branch B,0,0,0,Invest,4545,1,1393,100
Client 6,Bank Branch B,0,0,0,Retire,4534,1,3444,
Client 2,Bank Branch C,0,0,0,Invest,4387,1,609,20.68
Client 4,Bank Branch B,0,1.58,1.58,Retire,2209,1,1393,
Client 10,Bank Branch A,0,1.27,1.27,Invest,3708,1,1214,55.0
Client 10,Bank Branch A,0,1.57,1.57,Retire,223,1,991,
Client 6,Bank Branch B,0,1.66,1.66,Retire,3643,1,3444,
Client 8,Bank Branch C,0,1.52,1.52,Invest,974,1,212,82.73
Client 8,Bank Branch C,0,1.74,1.74,Retire,3346,1,212,
Client 1,Bank Branch A,0,2.79,2.79,Retire,2510,1,1210,
Client 6,Bank Branch B,0,2.86,2.86,Retire,3148,1,296,
Client 9,Bank Branch C,0,3.55,3.55,Invest,2922,1,8524,55.0
Client 7,Bank Branch B,0,2.78,2.78,Loan,3277,1,5427,55.0
Client 2,Bank Branch C,0,3.22,3.22,Retire,1212,1,609,
Client 4,Bank Branch B,0,4.19,4.19,Deposit,2824,1,4217,
Client 2,Bank Branch C,0,4.65,4.65,Invest,1063,1,609,100
Client 7,Bank Branch B,0,4.68,4.68,Invest,915,1,5427,100
Client 3,Bank Branch C,0,4.71,4.71,Invest,1240,1,3202,100
Client 6,Bank Branch B,0,5.34,5.34,Deposit,3024,1,3320,
Client 2,Bank Branch C,0,6.27,6.27,Retire,3117,1,609,
Client 8,Bank Branch C,8.24,8.24,0.0,Invest,3000,2,212,100
Client 7,Bank Branch B,8.24,8.24,0.0,Retire,2713,2,2032.38,
Client 1,Bank Branch A,8.24,8.24,0.0,Loan,3771,2,4981,55.0
Client 8,Bank Branch C,8.24,8.24,0.0,Loan,332,2,212,85.71
Client 10,Bank Branch A,8.24,8.24,0.0,Deposit,3771,2,4580.35,
Client 4,Bank Branch B,8.24,8.24,0.0,Invest,3484,2,4217,100
Client 9,Bank Branch C,8.24,9.42,1.17,Invest,3810,2,3733.03,20.26
Client 1,Bank Branch A,8.24,9.83,1.58,Loan,3859,2,8840,55.0
Client 7,Bank Branch B,8.24,9.49,1.24,Invest,1570,2,2032.38,100
Client 1,Bank Branch A,8.24,9.66,1.41,Loan,1785,2,8840,100
Client 9,Bank Branch C,8.24,9.75,1.5,Retire,2166,2,1567.03,
Client 7,Bank Branch B,8.24,9.97,1.72,Invest,3506,2,2032.38,17.55
Client 6,Bank Branch B,8.24,11.35,3.1,Retire,3000,2,320,
Client 9,Bank Branch C,8.24,10.62,2.38,Loan,4518,2,1567.03,16.17
Client 1,Bank Branch A,8.24,11.11,2.86,Invest,4392,2,8840,55.0
Client 9,Bank Branch C,8.24,11.4,3.15,Loan,671,2,1567.03,100
Client 7,Bank Branch B,8.24,11.66,3.42,Retire,515,2,1517.38,
Client 3,Bank Branch C,8.24,12.55,4.31,Deposit,4994,2,8196,
Client 1,Bank Branch A,13.82,13.82,0.0,Loan,548,3,6837.12,100
Client 2,Bank Branch C,13.82,13.82,0.0,Deposit,1660,3,4129.09,
Client 5,Bank Branch A,13.82,13.82,0.0,Retire,4601,3,408,
Client 6,Bank Branch B,13.82,13.82,0.0,Invest,444,3,320,86.74
Client 9,Bank Branch C,13.82,13.82,0.0,Loan,1899,3,1595.71,100
Client 6,Bank Branch B,13.82,13.82,0.0,Invest,475,3,320,86.55
Client 8,Bank Branch C,13.82,14.88,1.06,Invest,1312,3,212,100
Client 10,Bank Branch A,13.82,14.84,1.02,Loan,4031,3,8429.7,18.8
Client 5,Bank Branch A,13.82,14.9,1.08,Retire,4820,3,408,
Client 3,Bank Branch C,13.82,15.59,1.77,Loan,779,3,8196,100
Client 4,Bank Branch B,13.82,15.49,1.67,Loan,3344,3,4217,100
Client 6,Bank Branch B,13.82,15.81,1.99,Loan,2986,3,320,100
Client 9,Bank Branch C,13.82,15.98,2.17,Deposit,2998,3,4593.71,
Client 9,Bank Branch C,13.82,16.88,3.07,Loan,4205,3,8798.71,100
Client 6,Bank Branch B,13.82,17.56,3.75,Loan,810,3,1130,84.1
Client 6,Bank Branch B,13.82,17.29,3.47,Retire,3003,3,1130,
Client 9,Bank Branch C,13.82,17.76,3.94,Retire,3036,3,5762.71,
Client 7,Bank Branch B,13.82,18.72,4.9,Loan,4122,3,4957.77,55.0
Client 4,Bank Branch B,13.82,18.84,5.02,Loan,3327,3,4217,100
Client 3,Bank Branch C,13.82,18.53,4.71,Loan,3013,3,8196,100
Client 8,Bank Branch C,13.82,19.0,5.18,Invest,321,3,212,85.71
Client 2,Bank Branch C,13.82,20.38,6.56,Retire,2583,3,1546.09,
Client 2,Bank Branch C,13.82,20.91,7.09,Deposit,679,3,2225.09,
Client 3,Bank Branch C,13.82,21.45,7.63,Invest,2826,3,8196,100
Client 8,Bank Branch C,13.82,22.03,8.21,Loan,2432,3,212,100
Client 8,Bank Branch C,13.82,22.96,9.14,Loan,4964,3,5176,55.0
Client 3,Bank Branch C,13.82,23.87,10.05,Loan,4131,3,12327,18.19
Client 2,Bank Branch C,13.82,24.22,10.4,Retire,3052,3,2225.09,
Client 5,Bank Branch A,25.62,25.62,0.0,Retire,422,4,408,
Client 3,Bank Branch C,25.62,25.62,0.0,Loan,4900,4,15808.69,15.75
Client 7,Bank Branch B,25.62,25.62,0.0,Loan,1916,4,2847.19,100
Client 10,Bank Branch A,25.62,25.62,0.0,Invest,583,4,6254.2,55.0
Client 7,Bank Branch B,25.62,25.62,0.0,Retire,2263,4,584.19,
Client 8,Bank Branch C,25.62,25.62,0.0,Loan,506,4,3471.69,100
Client 9,Bank Branch C,25.62,27.59,1.97,Retire,823,4,3524.67,
Client 5,Bank Branch A,25.62,27.08,1.46,Deposit,1279,4,1687,
Client 7,Bank Branch B,25.62,27.39,1.77,Loan,2114,4,584.19,100
Client 1,Bank Branch A,25.62,27.42,1.8,Loan,549,4,4834.25,100
Client 3,Bank Branch C,25.62,27.36,1.74,Invest,1078,4,15808.69,100
Client 7,Bank Branch B,25.62,27.49,1.87,Retire,414,4,170.19,
Client 2,Bank Branch C,25.62,28.6,2.98,Deposit,1080,4,4235.13,
Client 4,Bank Branch B,25.62,28.87,3.25,Retire,3536,4,681,
Client 4,Bank Branch B,25.62,29.47,3.85,Invest,4368,4,681,17.69
Client 9,Bank Branch C,25.62,29.09,3.47,Deposit,3410,4,6934.67,
Client 3,Bank Branch C,25.62,29.64,4.02,Loan,3114,4,15808.69,100
Client 6,Bank Branch B,25.62,30.1,4.48,Retire,934,4,849.2,
Client 10,Bank Branch A,31.62,31.62,0.0,Loan,780,5,5741.95,55.0
Client 6,Bank Branch B,31.62,31.62,0.0,Deposit,2476,5,3044.4,
Client 1,Bank Branch A,31.62,31.62,0.0,Deposit,4821,5,7652.38,
Client 9,Bank Branch C,31.62,31.62,0.0,Invest,2016,5,5519.63,100
Client 6,Bank Branch B,31.62,31.62,0.0,Retire,2093,5,951.4,
Client 2,Bank Branch C,31.62,31.62,0.0,Invest,479,5,5165.18,100
Client 7,Bank Branch B,31.62,32.89,1.27,Loan,1505,5,-1940.38,
Client 3,Bank Branch C,31.62,33.08,1.46,Loan,580,5,11866.88,100
Client 10,Bank Branch A,31.62,32.84,1.21,Retire,1069,5,4672.95,
Client 5,Bank Branch A,31.62,33.07,1.44,Loan,4861,5,6548,25.51
Client 8,Bank Branch C,31.62,33.39,1.77,Invest,3282,5,1767.39,55.0
Client 7,Bank Branch B,31.62,33.28,1.66,Loan,1679,5,-1940.38,
Client 4,Bank Branch B,31.62,34.3,2.68,Retire,3188,5,681,
Client 8,Bank Branch C,31.62,34.4,2.78,Invest,1469,5,1767.39,100
Client 10,Bank Branch A,31.62,34.6,2.98,Retire,703,5,3969.95,
Client 5,Bank Branch A,31.62,34.57,2.94,Loan,3709,5,10257,34.01
Client 2,Bank Branch C,31.62,34.88,3.25,Invest,1824,5,5165.18,100
Client 6,Bank Branch B,31.62,35.0,3.38,Invest,4188,5,951.4,55.0
Client 5,Bank Branch A,31.62,36.18,4.56,Loan,522,5,10257,100
Client 9,Bank Branch C,31.62,36.0,4.38,Retire,1635,5,3884.63,
Client 10,Bank Branch A,31.62,36.21,4.59,Loan,1904,5,5873.95,100
Client 8,Bank Branch C,31.62,36.63,5.0,Loan,4310,5,6077.39,55.0
